"wid","city","country","date","temp","dew_pt","hum","wind_spd","wind_gust","dir","vis","pressure","wind_chill","heat_index","precip","cond","fog","rain","snow","hail","thunder","tornado"
1,"Athens","Greece",2002-09-02 00:50:00,71.6,60.8,69,0,NA,"North",6.2,29.95,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
2,"Athens","Greece",2002-09-02 01:50:00,71.6,62.6,73,4.6,NA,"ENE",6.2,29.95,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
3,"Athens","Greece",2002-09-02 03:50:00,69.8,59,68,0,NA,"North",6.2,29.95,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
4,"Athens","Greece",2002-09-02 04:50:00,68,59,73,0,NA,"North",6.2,29.95,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
5,"Athens","Greece",2002-09-02 05:50:00,66.2,59,78,0,NA,"North",6.2,29.95,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
6,"Athens","Greece",2002-09-02 06:50:00,66.2,62.6,88,4.6,NA,"ENE",6.2,29.95,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
7,"Athens","Greece",2002-09-02 07:50:00,66.2,59,78,0,NA,"North",6.2,29.98,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
8,"Athens","Greece",2002-09-02 08:50:00,71.6,59,64,0,NA,"North",6.2,29.98,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
9,"Athens","Greece",2002-09-02 09:50:00,75.2,60.8,61,0,NA,"North",6.2,30.01,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
10,"Athens","Greece",2002-09-02 11:50:00,82.4,60.8,48,8.1,NA,"West",6.2,30.01,NA,82.9,NA,"Scattered Clouds",0,0,0,0,0,0
11,"Athens","Greece",2002-09-02 12:50:00,82.4,62.6,51,8.1,NA,"West",6.2,30.01,NA,83.4,NA,"Mostly Cloudy",0,0,0,0,0,0
12,"Athens","Greece",2002-09-02 13:50:00,80.6,62.6,54,5.8,NA,"SW",6.2,30.01,NA,81.8,NA,"Mostly Cloudy",0,0,0,0,0,0
13,"Athens","Greece",2002-09-02 14:50:00,84.2,64.4,51,9.2,NA,"SW",6.2,30.01,NA,85.6,NA,"Mostly Cloudy",0,0,0,0,0,0
14,"Athens","Greece",2002-09-02 15:50:00,82.4,62.6,51,8.1,NA,"SW",6.2,29.98,NA,83.4,NA,"Mostly Cloudy",0,0,0,0,0,0
15,"Athens","Greece",2002-09-02 16:50:00,80.6,64.4,58,6.9,NA,"SSW",6.2,29.98,NA,82.3,NA,"Mostly Cloudy",0,0,0,0,0,0
16,"Athens","Greece",2002-09-02 17:50:00,78.8,62.6,57,4.6,NA,"West",6.2,30.01,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
17,"Athens","Greece",2002-09-02 18:50:00,75.2,60.8,61,11.5,NA,"East",3.1,30.01,NA,NA,NA,"Light Thunderstorms and Rain",0,1,0,0,1,0
18,"Athens","Greece",2002-09-02 19:20:00,75.2,60.8,61,10.4,NA,"ENE",6.2,30.01,NA,NA,NA,"Light Rain",0,1,0,0,0,0
19,"Athens","Greece",2002-09-02 19:50:00,69.8,64.4,83,11.5,NA,"East",6.2,30.01,NA,NA,NA,"Light Rain",0,1,0,0,0,0
20,"Athens","Greece",2002-09-02 20:50:00,71.6,64.4,78,5.8,NA,"ENE",6.2,30.01,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
21,"Athens","Greece",2002-09-02 21:50:00,71.6,66.2,83,0,NA,"North",6.2,30.04,NA,NA,NA,"Light Rain",0,1,0,0,0,0
22,"Athens","Greece",2002-09-02 22:50:00,71.6,68,88,0,NA,"North",6.2,30.04,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
23,"Athens","Greece",2002-09-02 23:50:00,71.6,68,88,0,NA,"North",6.2,30.04,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
24,"Athens","Greece",2002-08-27 00:50:00,77,53.6,44,11.5,NA,"North",NA,30.01,NA,NA,NA,"Clear",0,0,0,0,0,0
25,"Athens","Greece",2002-08-27 01:50:00,77,55.4,47,9.2,NA,"North",NA,30.01,NA,NA,NA,"Clear",0,0,0,0,0,0
26,"Athens","Greece",2002-08-27 02:50:00,75.2,57.2,53,6.9,NA,"NNW",NA,30.01,NA,NA,NA,"Clear",0,0,0,0,0,0
27,"Athens","Greece",2002-08-27 03:50:00,75.2,57.2,53,6.9,NA,"North",NA,30.01,NA,NA,NA,"Clear",0,0,0,0,0,0
28,"Athens","Greece",2002-08-27 04:50:00,75.2,57.2,53,8.1,NA,"NNW",NA,30.01,NA,NA,NA,"Clear",0,0,0,0,0,0
29,"Athens","Greece",2002-08-27 05:50:00,75.2,57.2,53,13.8,NA,"NE",NA,29.98,NA,NA,NA,"Clear",0,0,0,0,0,0
30,"Athens","Greece",2002-08-27 06:50:00,77,57.2,50,13.8,NA,"ENE",NA,29.98,NA,NA,NA,"Clear",0,0,0,0,0,0
31,"Athens","Greece",2002-08-27 07:50:00,75.2,55.4,50,8.1,NA,"North",NA,30.01,NA,NA,NA,"Clear",0,0,0,0,0,0
32,"Athens","Greece",2002-08-27 08:50:00,77,55.4,47,9.2,NA,"North",NA,29.98,NA,NA,NA,"Clear",0,0,0,0,0,0
33,"Athens","Greece",2002-08-27 09:50:00,80.6,51.8,37,13.8,NA,"NNE",NA,29.98,NA,NA,NA,"Clear",0,0,0,0,0,0
34,"Athens","Greece",2002-08-27 10:50:00,82.4,53.6,37,12.7,NA,"North",NA,29.98,NA,81.4,NA,"Clear",0,0,0,0,0,0
35,"Athens","Greece",2002-08-27 11:50:00,84.2,53.6,35,17.3,NA,"North",NA,29.98,NA,82.8,NA,"Clear",0,0,0,0,0,0
36,"Athens","Greece",2002-08-27 12:50:00,86,51.8,31,18.4,NA,"North",NA,29.98,NA,NA,NA,"Clear",0,0,0,0,0,0
37,"Athens","Greece",2002-08-27 13:50:00,86,51.8,31,18.4,NA,"North",NA,29.98,NA,NA,NA,"Clear",0,0,0,0,0,0
38,"Athens","Greece",2002-08-27 14:50:00,87.8,53.6,31,16.1,27.6,"NNE",NA,29.98,NA,85.7,NA,"Clear",0,0,0,0,0,0
39,"Athens","Greece",2002-08-27 16:50:00,86,51.8,31,15,NA,"NNE",NA,29.95,NA,NA,NA,"Clear",0,0,0,0,0,0
40,"Athens","Greece",2002-08-27 17:50:00,86,53.6,33,10.4,NA,"NE",NA,29.95,NA,84.2,NA,"Clear",0,0,0,0,0,0
41,"Athens","Greece",2002-08-27 18:50:00,82.4,53.6,37,12.7,NA,"NNE",NA,29.95,NA,81.4,NA,"Clear",0,0,0,0,0,0
42,"Athens","Greece",2002-08-27 19:50:00,80.6,51.8,37,15,NA,"North",NA,29.95,NA,NA,NA,"Clear",0,0,0,0,0,0
43,"Athens","Greece",2002-08-27 20:50:00,78.8,53.6,42,12.7,NA,"NNE",NA,29.95,NA,NA,NA,"Clear",0,0,0,0,0,0
44,"Athens","Greece",2002-08-27 21:50:00,77,53.6,44,9.2,NA,"North",NA,29.98,NA,NA,NA,"Clear",0,0,0,0,0,0
45,"Athens","Greece",2002-08-27 22:50:00,75.2,51.8,44,9.2,NA,"NNE",NA,29.98,NA,NA,NA,"Clear",0,0,0,0,0,0
46,"Athens","Greece",2002-08-27 23:50:00,75.2,53.6,47,0,NA,"North",NA,29.98,NA,NA,NA,"Clear",0,0,0,0,0,0
47,"Athens","Greece",2002-08-31 00:50:00,71.6,60.8,69,8.1,NA,"North",6.2,29.86,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
48,"Athens","Greece",2002-08-31 01:50:00,71.6,60.8,69,6.9,NA,"NW",6.2,29.89,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
49,"Athens","Greece",2002-08-31 02:50:00,69.8,60.8,73,5.8,NA,"NNW",6.2,29.86,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
50,"Athens","Greece",2002-08-31 04:50:00,69.8,62.6,78,6.9,NA,"North",6.2,29.86,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
51,"Athens","Greece",2002-08-31 05:50:00,69.8,60.8,73,9.2,NA,"NNW",6.2,29.86,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
52,"Athens","Greece",2002-08-31 06:50:00,69.8,60.8,73,5.8,NA,"North",6.2,29.86,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
53,"Athens","Greece",2002-08-31 07:50:00,69.8,62.6,78,0,NA,"North",6.2,29.86,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
54,"Athens","Greece",2002-08-31 08:50:00,71.6,62.6,73,6.9,NA,"North",6.2,29.86,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
55,"Athens","Greece",2002-08-31 09:50:00,75.2,60.8,61,8.1,NA,"NNW",6.2,29.86,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
56,"Athens","Greece",2002-08-31 10:50:00,80.6,59,48,11.5,NA,"North",6.2,29.89,NA,81.1,NA,"Mostly Cloudy",0,0,0,0,0,0
57,"Athens","Greece",2002-08-31 11:50:00,80.6,59,48,11.5,NA,"North",6.2,29.89,NA,81.1,NA,"Mostly Cloudy",0,0,0,0,0,0
58,"Athens","Greece",2002-08-31 12:50:00,80.6,60.8,51,15,NA,"NNE",6.2,29.86,NA,81.5,NA,"Mostly Cloudy",0,0,0,0,0,0
59,"Athens","Greece",2002-08-31 13:50:00,80.6,62.6,54,13.8,NA,"NNW",6.2,29.86,NA,81.8,NA,"Scattered Clouds",0,0,0,0,0,0
60,"Athens","Greece",2002-08-31 14:50:00,82.4,59,45,16.1,NA,"North",6.2,29.83,NA,82.5,NA,"Scattered Clouds",0,0,0,0,0,0
61,"Athens","Greece",2002-08-31 15:50:00,80.6,57.2,45,15,NA,"NNE",6.2,29.83,NA,80.8,NA,"Mostly Cloudy",0,0,0,0,0,0
62,"Athens","Greece",2002-08-31 16:50:00,80.6,57.2,45,12.7,24.2,"NNE",6.2,29.83,NA,80.8,NA,"Mostly Cloudy",0,0,0,0,0,0
63,"Athens","Greece",2002-08-31 17:50:00,78.8,57.2,47,13.8,25.3,"North",6.2,29.83,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
64,"Athens","Greece",2002-08-31 18:50:00,77,59,54,15,NA,"North",6.2,29.83,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
65,"Athens","Greece",2002-08-31 19:50:00,75.2,59,57,12.7,NA,"North",6.2,29.86,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
66,"Athens","Greece",2002-08-31 20:50:00,73.4,59,61,9.2,NA,"NNE",6.2,29.86,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
67,"Athens","Greece",2002-08-31 21:50:00,73.4,59,61,6.9,NA,"NNE",6.2,29.86,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
68,"Athens","Greece",2002-08-31 22:50:00,73.4,59,61,8.1,NA,"NNE",6.2,29.86,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
69,"Athens","Greece",2002-09-01 00:50:00,73.4,60.8,65,6.9,NA,"NNE",6.2,29.86,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
70,"Athens","Greece",2002-09-01 01:50:00,71.6,60.8,69,6.9,NA,"NNW",6.2,29.86,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
71,"Athens","Greece",2002-09-01 02:50:00,71.6,60.8,69,9.2,NA,"NW",6.2,29.86,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
72,"Athens","Greece",2002-09-01 03:50:00,71.6,60.8,69,6.9,NA,"NNW",6.2,29.86,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
73,"Athens","Greece",2002-09-01 05:50:00,69.8,60.8,73,5.8,NA,"North",6.2,29.86,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
74,"Athens","Greece",2002-09-01 06:50:00,69.8,60.8,73,6.9,NA,"NNW",6.2,29.86,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
75,"Athens","Greece",2002-09-01 08:50:00,73.4,60.8,65,8.1,NA,"NW",6.2,29.86,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
76,"Athens","Greece",2002-09-01 09:50:00,75.2,60.8,61,8.1,NA,"North",6.2,29.89,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
77,"Athens","Greece",2002-09-01 10:50:00,77,57.2,50,13.8,NA,"North",6.2,29.89,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
78,"Athens","Greece",2002-09-01 11:50:00,80.6,57.2,45,11.5,NA,"North",6.2,29.89,NA,80.8,NA,"Scattered Clouds",0,0,0,0,0,0
79,"Athens","Greece",2002-09-01 12:50:00,80.6,57.2,45,9.2,NA,"NNE",6.2,29.89,NA,80.8,NA,"Scattered Clouds",0,0,0,0,0,0
80,"Athens","Greece",2002-09-01 13:50:00,82.4,60.8,48,4.6,NA,"West",6.2,29.86,NA,82.9,NA,"Scattered Clouds",0,0,0,0,0,0
81,"Athens","Greece",2002-09-01 15:50:00,78.8,60.8,54,11.5,NA,"ENE",6.2,29.89,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
82,"Athens","Greece",2002-09-01 16:50:00,77,62.6,61,9.2,NA,"ENE",6.2,29.89,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
83,"Athens","Greece",2002-09-01 17:50:00,77,60.8,57,8.1,NA,"ENE",6.2,29.89,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
84,"Athens","Greece",2002-09-01 18:50:00,75.2,60.8,61,9.2,NA,"NNW",6.2,29.89,NA,NA,NA,"Light Thunderstorms and Rain",0,1,0,0,1,0
85,"Athens","Greece",2002-09-01 19:50:00,71.6,64.4,78,8.1,NA,"NNE",6.2,29.89,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
86,"Athens","Greece",2002-09-01 20:50:00,71.6,64.4,78,5.8,NA,"North",6.2,29.92,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
87,"Athens","Greece",2002-09-01 21:50:00,71.6,66.2,83,0,NA,"North",6.2,29.95,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
88,"Athens","Greece",2002-09-01 22:50:00,71.6,66.2,83,0,NA,"North",6.2,29.95,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
89,"Athens","Greece",2002-09-01 23:50:00,71.6,64.4,78,0,NA,"North",6.2,29.95,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
90,"Athens","Greece",2002-08-28 00:50:00,73.4,53.6,50,11.5,NA,"North",NA,29.98,NA,NA,NA,"Clear",0,0,0,0,0,0
91,"Athens","Greece",2002-08-28 01:50:00,75.2,53.6,47,9.2,NA,"North",NA,29.98,NA,NA,NA,"Clear",0,0,0,0,0,0
92,"Athens","Greece",2002-08-28 02:50:00,73.4,55.4,53,0,NA,"North",NA,29.98,NA,NA,NA,"Clear",0,0,0,0,0,0
93,"Athens","Greece",2002-08-28 03:50:00,73.4,57.2,57,6.9,NA,"North",NA,29.98,NA,NA,NA,"Clear",0,0,0,0,0,0
94,"Athens","Greece",2002-08-28 07:50:00,71.6,60.8,69,0,NA,"North",NA,29.95,NA,NA,NA,"Clear",0,0,0,0,0,0
95,"Athens","Greece",2002-08-28 08:50:00,75.2,59,57,6.9,NA,"NW",6.2,29.98,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
96,"Athens","Greece",2002-08-28 09:50:00,78.8,60.8,54,8.1,NA,"WNW",6.2,29.95,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
97,"Athens","Greece",2002-08-28 10:50:00,82.4,48.2,30,13.8,NA,"NE",NA,29.95,NA,NA,NA,"Clear",0,0,0,0,0,0
98,"Athens","Greece",2002-08-28 12:50:00,86,48.2,27,11.5,NA,"NNE",NA,29.95,NA,NA,NA,"Clear",0,0,0,0,0,0
99,"Athens","Greece",2002-08-28 13:50:00,87.8,48.2,25,11.5,NA,"NNE",NA,29.95,NA,NA,NA,"Clear",0,0,0,0,0,0
100,"Athens","Greece",2002-08-28 14:50:00,87.8,46.4,24,11.5,NA,"NE",NA,29.95,NA,NA,NA,"Clear",0,0,0,0,0,0
101,"Athens","Greece",2002-08-28 15:50:00,87.8,46.4,24,11.5,NA,"NE",NA,29.95,NA,NA,NA,"Clear",0,0,0,0,0,0
102,"Athens","Greece",2002-08-28 16:50:00,87.8,48.2,25,10.4,NA,"NE",NA,29.92,NA,NA,NA,"Clear",0,0,0,0,0,0
103,"Athens","Greece",2002-08-28 17:50:00,86,55.4,35,9.2,NA,"ENE",NA,29.92,NA,84.5,NA,"Clear",0,0,0,0,0,0
104,"Athens","Greece",2002-08-28 18:50:00,82.4,53.6,37,13.8,NA,"East",NA,29.92,NA,81.4,NA,"Clear",0,0,0,0,0,0
105,"Athens","Greece",2002-08-28 19:50:00,80.6,53.6,39,12.7,NA,"East",NA,29.92,NA,80.3,NA,"Clear",0,0,0,0,0,0
106,"Athens","Greece",2002-08-28 20:50:00,78.8,51.8,39,8.1,NA,"NE",NA,29.92,NA,NA,NA,"Clear",0,0,0,0,0,0
107,"Athens","Greece",2002-08-28 21:50:00,77,50,39,4.6,NA,"NE",NA,29.92,NA,NA,NA,"Clear",0,0,0,0,0,0
108,"Athens","Greece",2002-08-28 22:50:00,77,51.8,41,8.1,NA,"North",6.2,29.95,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
109,"Athens","Greece",2002-08-29 00:50:00,75.2,48.2,38,8.1,NA,"North",6.2,29.95,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
110,"Athens","Greece",2002-08-29 01:50:00,75.2,48.2,38,9.2,NA,"North",6.2,29.95,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
111,"Athens","Greece",2002-08-29 02:50:00,75.2,50,41,11.5,NA,"NNE",6.2,29.92,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
112,"Athens","Greece",2002-08-29 03:50:00,75.2,50,41,10.4,NA,"North",6.2,29.92,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
113,"Athens","Greece",2002-08-29 04:50:00,73.4,53.6,50,6.9,NA,"NNW",6.2,29.92,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
114,"Athens","Greece",2002-08-29 05:50:00,73.4,53.6,50,10.4,NA,"North",6.2,29.92,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
115,"Athens","Greece",2002-08-29 06:50:00,73.4,53.6,50,10.4,NA,"North",6.2,29.92,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
116,"Athens","Greece",2002-08-29 07:50:00,75.2,53.6,47,8.1,NA,"North",6.2,29.92,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
117,"Athens","Greece",2002-08-29 08:50:00,77,55.4,47,8.1,NA,"ENE",6.2,29.92,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
118,"Athens","Greece",2002-08-29 09:50:00,78.8,55.4,44,4.6,NA,"NW",6.2,29.92,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
119,"Athens","Greece",2002-08-29 10:50:00,80.6,57.2,45,4.6,NA,"West",6.2,29.95,NA,80.8,NA,"Mostly Cloudy",0,0,0,0,0,0
120,"Athens","Greece",2002-08-29 11:50:00,82.4,62.6,51,5.8,NA,"WSW",6.2,29.95,NA,83.4,NA,"Mostly Cloudy",0,0,0,0,0,0
121,"Athens","Greece",2002-08-29 12:50:00,84.2,62.6,48,8.1,NA,"WSW",6.2,29.95,NA,85,NA,"Mostly Cloudy",0,0,0,0,0,0
122,"Athens","Greece",2002-08-29 13:50:00,84.2,60.8,45,8.1,NA,"SW",6.2,29.92,NA,84.4,NA,"Mostly Cloudy",0,0,0,0,0,0
123,"Athens","Greece",2002-08-29 14:50:00,86,60.8,43,8.1,NA,"SW",6.2,29.92,NA,86.1,NA,"Mostly Cloudy",0,0,0,0,0,0
124,"Athens","Greece",2002-08-29 15:50:00,86,62.6,45,9.2,NA,"SW",6.2,29.89,NA,86.6,NA,"Mostly Cloudy",0,0,0,0,0,0
125,"Athens","Greece",2002-08-29 16:50:00,86,55.4,35,6.9,NA,"East",6.2,29.89,NA,84.5,NA,"Mostly Cloudy",0,0,0,0,0,0
126,"Athens","Greece",2002-08-29 17:50:00,84.2,57.2,40,12.7,NA,"ENE",6.2,29.89,NA,83.5,NA,"Mostly Cloudy",0,0,0,0,0,0
127,"Athens","Greece",2002-08-29 18:50:00,80.6,59,48,10.4,NA,"ENE",6.2,29.89,NA,81.1,NA,"Mostly Cloudy",0,0,0,0,0,0
128,"Athens","Greece",2002-08-29 19:50:00,78.8,59,51,11.5,NA,"ENE",6.2,29.89,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
129,"Athens","Greece",2002-08-29 20:50:00,77,60.8,57,6.9,NA,"ENE",6.2,29.89,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
130,"Athens","Greece",2002-08-29 21:50:00,75.2,60.8,61,8.1,NA,"ENE",6.2,29.92,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
131,"Athens","Greece",2002-08-29 22:50:00,75.2,60.8,61,5.8,NA,"ENE",6.2,29.92,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
132,"Athens","Greece",2002-08-29 23:50:00,NA,NA,NA,0,NA,"North",6.2,29.92,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
133,"Athens","Greece",2002-08-30 00:50:00,75.2,57.2,53,0,NA,"North",6.2,29.92,NA,NA,NA,"Light Rain",0,1,0,0,0,0
