code;name;description
0;Not available;Not available (default)
1;Reserved;Reserved for future use
2;Reserved;Reserved for future use
3;Reserved;Reserved for future use
4;Reserved;Reserved for future use
5;Reserved;Reserved for future use
6;Reserved;Reserved for future use
7;Reserved;Reserved for future use
8;Reserved;Reserved for future use
9;Reserved;Reserved for future use
10;Reserved;Reserved for future use
11;Reserved;Reserved for future use
12;Reserved;Reserved for future use
13;Reserved;Reserved for future use
14;Reserved;Reserved for future use
15;Reserved;Reserved for future use
16;Reserved;Reserved for future use
17;Reserved;Reserved for future use
18;Reserved;Reserved for future use
19;Reserved;Reserved for future use
20;WIG;Wing in ground (WIG), all ships of this type
21;WIG;Wing in ground (WIG), Hazardous category A
22;WIG;Wing in ground (WIG), Hazardous category B
23;WIG;Wing in ground (WIG), Hazardous category C
24;WIG;Wing in ground (WIG), Hazardous category D
25;WIG;Wing in ground (WIG), Reserved for future use
26;WIG;Wing in ground (WIG), Reserved for future use
27;WIG;Wing in ground (WIG), Reserved for future use
28;WIG;Wing in ground (WIG), Reserved for future use
29;WIG;Wing in ground (WIG), Reserved for future use
30;Fishing;Fishing
31;TowingTowing
32;Towing;Towing: length exceeds 200m or breadth exceeds 25m
33;Diving;Dredging or underwater ops
34;DivingDiving ops
35;Militar;Military ops
36;Sailing;Sailing
37;Sailing;Pleasure Craft
38;Reserved;Reserved
39;Reserved;Reserved
40;HSC;High speed craft (HSC), all ships of this type
41;HSC;High speed craft (HSC), Hazardous category A
42;HSC;High speed craft (HSC), Hazardous category B
43;HSC;High speed craft (HSC), Hazardous category C
44;HSC;High speed craft (HSC), Hazardous category D
45;HSC;High speed craft (HSC), Reserved for future use
46;HSC;High speed craft (HSC), Reserved for future use
47;HSC;High speed craft (HSC), Reserved for future use
48;HSC;High speed craft (HSC), Reserved for future use
49;HSC;High speed craft (HSC), No additional information
50;Pilot Vessel;Pilot Vessel
51;Search and Rescue vessel;Search and Rescue vessel
52;Tug;Tug
53;Port Tender;Port Tender
54;Anti-pollution equipment;Anti-pollution equipment
55;Law Enforcement;Law Enforcement
56;Spare - Local Vessel;Spare - Local Vessel
57;Spare - Local Vessel;Spare - Local Vessel
58;Medical Transport;Medical Transport
59;Noncombatant;Noncombatant ship according to RR Resolution No. 18
60;Passenger;Passenger, all ships of this type
61;Passenger;Passenger, Hazardous category A
62;Passenger;Passenger, Hazardous category B
63;Passenger;Passenger, Hazardous category C
64;Passenger;Passenger, Hazardous category D
65;Passenger;Passenger, Reserved for future use
66;Passenger;Passenger, Reserved for future use
67;Passenger;Passenger, Reserved for future use
68;Passenger;Passenger, Reserved for future use
69;Passenger;Passenger, No additional information
70;Cargo;Cargo, all ships of this type
71;Cargo;Cargo, Hazardous category A
72;Cargo;Cargo, Hazardous category B
73;Cargo;Cargo, Hazardous category C
74;Cargo;Cargo, Hazardous category D
75;Cargo;Cargo, Reserved for future use
76;Cargo;Cargo, Reserved for future use
77;Cargo;Cargo, Reserved for future use
78;Cargo;Cargo, Reserved for future use
79;Cargo;Cargo, No additional information
80;Tanker;Tanker, all ships of this type
81;Tanker;Tanker, Hazardous category A
82;Tanker;Tanker, Hazardous category B
83;Tanker;Tanker, Hazardous category C
84;Tanker;Tanker, Hazardous category D
85;Tanker;Tanker, Reserved for future use
86;Tanker;Tanker, Reserved for future use
87;Tanker;Tanker, Reserved for future use
88;Tanker;Tanker, Reserved for future use
89;Tanker;Tanker, No additional information
90;Other Type;Other Type, all ships of this type
91;Other Type;Other Type, Hazardous category A
92;Other Type;Other Type, Hazardous category B
93;Other Type;Other Type, Hazardous category C
94;Other Type;Other Type, Hazardous category D
95;Other Type;Other Type, Reserved for future use
96;Other Type;Other Type, Reserved for future use
97;Other Type;Other Type, Reserved for future use
98;Other Type;Other Type, Reserved for future use
99;Other Type;Other Type, no additional information